dataset,id,source,source_traditional,target,reason,review_status,provenance
phrases,PHR-1527,我要一份云吞面。,我要一份雲吞麪。,我要一份雲吞麵。,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),generated_candidate,controlled_generation_v1.0
phrases,PHR-1612,我要一份面包。,我要一份麪包。,我要一份麵包。,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),generated_candidate,controlled_generation_v1.0
phrases,PHR-2573,我想买背包。,我想買揹包。,我想買背包。,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),generated_candidate,controlled_generation_v1.0
phrases,PHR-2575,我想换一个背包。,我想換一個揹包。,我想換一個背包。,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),generated_candidate,controlled_generation_v1.0
phrases,PHR-3646,我要去服务台。,我要去服務枱。,我要去服務台。,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),generated_candidate,controlled_generation_v1.0
phrases,PHR-4082,我需要床单。,我需要牀單。,我需要床單。,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),generated_candidate,controlled_generation_v1.0
lexicon,LEX-0379,说明,説明,説明,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0384,小说,小説,小説,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0385,因为,因為,因為,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0387,学说,學説,學説,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0389,听说,聽説,聽説,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0396,说不定,説不定,説不定,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0400,尽可能,儘可能,盡可能,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0417,家喻户晓,家喻户曉,家喻户曉,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0454,一群,一羣,一群,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0502,它们,它們,牠們,same_lexeme_after_bidirectional_normalization:explicit_same_lexeme_marker,auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0596,明净,明淨,明凈,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0607,说服,説服,説服,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0608,卫生,衞生,衞生,same_lexeme_after_bidirectional_normalization:s2hk(source)==target,auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0618,诉说,訴説,訴説,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0625,大豆,大豆,大荳,same_lexeme_after_bidirectional_normalization:explicit_same_lexeme_marker,auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0634,为期,為期,為期,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0635,饭团,飯糰,飯團,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0638,为止,為止,為止,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0653,大众,大眾,大眾,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0666,据说,據説,據説,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
lexicon,LEX-0668,再说,再説,再説,same_lexeme_after_bidirectional_normalization:t2s(source)==t2s(target),auto_sourced_candidate,CC-Canto 2017-02-02 + CEDICT headword filter; CC BY-SA 3.0
