id,source,target,scene,subtype,register,variant,priority,match_mode,notes,review_status,provenance
PHR-0002,早上好。,早晨。,basic,greeting,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0003,晚上好。,早唞。,basic,greeting,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0004,再见。,拜拜。,basic,greeting,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0005,明天见。,聽日見。,basic,greeting,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0006,好久不见。,好耐冇見。,basic,greeting,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0007,最近怎么样？,近排點呀？,basic,greeting,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0008,我很好。,我幾好呀。,basic,greeting,neutral_colloquial,hong_kong,90,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0009,谢谢。,唔該。,basic,thanks_for_service,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0010,非常感谢。,唔該晒。,basic,thanks_for_service,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0011,谢谢你的帮助。,多謝你幫手。,basic,thanks_for_gift_or_help,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0012,不用谢。,唔使客氣。,basic,response,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0013,不客气。,唔使客氣。,basic,response,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0014,对不起。,對唔住。,basic,apology,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0015,不好意思。,唔好意思。,basic,apology,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0016,没关系。,唔緊要。,basic,response,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0017,没问题。,冇問題。,basic,response,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0018,请稍等。,唔該等一等。,basic,request,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0019,请等一下。,唔該等陣。,basic,request,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0020,麻烦你了。,麻煩晒你。,basic,request,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0021,请帮帮我。,唔該幫下我。,basic,request,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0022,你能帮我吗？,你可唔可以幫我呀？,basic,request,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0023,我听不懂。,我聽唔明。,basic,language,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0024,我不明白。,我唔明。,basic,language,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0025,请再说一遍。,唔該再講多次。,basic,language,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0026,请说慢一点。,唔該講慢啲。,basic,language,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0027,请说清楚一点。,唔該講清楚啲。,basic,language,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0028,你会说普通话吗？,你識唔識講普通話呀？,basic,language,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0029,我只会说一点粤语。,我淨係識講少少廣東話。,basic,language,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0030,这是什么意思？,呢個係咩意思呀？,basic,language,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0031,这个怎么说？,呢個點講呀？,basic,language,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0032,你叫什么名字？,你叫咩名呀？,basic,social,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0034,很高兴认识你。,好高興識到你。,basic,social,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0035,你从哪里来？,你喺邊度嚟㗎？,basic,social,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0036,我是从新加坡来的。,我由新加坡嚟㗎。,basic,social,neutral_colloquial,hong_kong,90,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0037,你住在哪里？,你住喺邊度呀？,basic,social,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0038,我住在附近。,我住喺附近。,basic,social,neutral_colloquial,hong_kong,95,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0039,现在几点？,而家幾點呀？,basic,time,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
PHR-0040,今天星期几？,今日星期幾呀？,basic,time,neutral_colloquial,hong_kong,100,exact_or_normalized,,draft_curated,curated_v0.1
