dataset,id,source,source_traditional,target,reason,review_status,provenance
phrases,PHR-0001,你好。,你好。,你好。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0033,我叫小陈。,我叫小陳。,我叫小陳。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0057,我记得。,我記得。,我記得。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0058,我觉得可以。,我覺得可以。,我覺得可以。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0063,我同意。,我同意。,我同意。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0107,我要一杯热水。,我要一杯熱水。,我要一杯熱水。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0108,我要一杯冻水。,我要一杯凍水。,我要一杯凍水。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0114,少辣。,少辣。,少辣。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0133,我要打包。,我要打包。,我要打包。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0171,我想换一个。,我想換一個。,我想換一個。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0172,我想退货。,我想退貨。,我想退貨。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0175,我有收据。,我有收據。,我有收據。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0219,我要去中环。,我要去中環。,我要去中環。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0236,我赶时间。,我趕時間。,我趕時間。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0246,我想办理入住。,我想辦理入住。,我想辦理入住。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0247,我想退房。,我想退房。,我想退房。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0281,我可能会迟到。,我可能會遲到。,我可能會遲到。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0306,祝你生日快乐。,祝你生日快樂。,祝你生日快樂。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0308,一路顺风。,一路順風。,一路順風。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0309,下次再约。,下次再約。,下次再約。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0336,我会尽快完成。,我會盡快完成。,我會盡快完成。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0368,我头痛。,我頭痛。,我頭痛。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0370,我喉咙痛。,我喉嚨痛。,我喉嚨痛。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0371,我发烧。,我發燒。,我發燒。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0376,我头晕。,我頭暈。,我頭暈。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0387,我有糖尿病。,我有糖尿病。,我有糖尿病。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0388,我有高血压。,我有高血壓。,我有高血壓。,source_s2t_equals_target,draft_curated,curated_v0.1
phrases,PHR-0508,我想刷牙。,我想刷牙。,我想刷牙。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-0761,中午我会刷牙。,中午我會刷牙。,中午我會刷牙。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-0829,我想跑步。,我想跑步。,我想跑步。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-0991,我想等人。,我想等人。,我想等人。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1060,我想上网。,我想上網。,我想上網。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1109,今晚我会上网。,今晚我會上網。,今晚我會上網。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1120,我想做家务。,我想做家務。,我想做家務。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1225,我想开门。,我想開門。,我想開門。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1255,我想开灯。,我想開燈。,我想開燈。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1324,下个月我会开门。,下個月我會開門。,下個月我會開門。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1327,三点我会刷牙。,三點我會刷牙。,三點我會刷牙。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1405,开会之前我会做家务。,開會之前我會做家務。,開會之前我會做家務。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1408,开会之前我会开灯。,開會之前我會開燈。,開會之前我會開燈。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1458,我要一杯水。,我要一杯水。,我要一杯水。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1476,我要一份炒饭。,我要一份炒飯。,我要一份炒飯。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1493,我要一份粥。,我要一份粥。,我要一份粥。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1509,我要一杯茶。,我要一杯茶。,我要一杯茶。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1526,我要一杯奶茶。,我要一杯奶茶。,我要一杯奶茶。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1543,我要一杯咖啡。,我要一杯咖啡。,我要一杯咖啡。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1544,我要一份米粉。,我要一份米粉。,我要一份米粉。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1560,我要一杯牛奶。,我要一杯牛奶。,我要一杯牛奶。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1561,我要一份河粉。,我要一份河粉。,我要一份河粉。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1577,我要一杯豆浆。,我要一杯豆漿。,我要一杯豆漿。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1594,我要一杯果汁。,我要一杯果汁。,我要一杯果汁。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1595,我要一份饺子。,我要一份餃子。,我要一份餃子。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1611,我要一杯橙汁。,我要一杯橙汁。,我要一杯橙汁。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1628,我要一杯苹果汁。,我要一杯蘋果汁。,我要一杯蘋果汁。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1629,我要一份鸡蛋。,我要一份雞蛋。,我要一份雞蛋。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1645,我要一杯汽水。,我要一杯汽水。,我要一杯汽水。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1646,我要一份鸡肉。,我要一份雞肉。,我要一份雞肉。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1662,我要一杯可乐。,我要一杯可樂。,我要一杯可樂。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1663,我要一份牛肉。,我要一份牛肉。,我要一份牛肉。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1679,我要一杯柠檬茶。,我要一杯檸檬茶。,我要一杯檸檬茶。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1680,我要一份猪肉。,我要一份豬肉。,我要一份豬肉。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1696,我要一杯鸳鸯。,我要一杯鴛鴦。,我要一杯鴛鴦。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1697,我要一份鱼。,我要一份魚。,我要一份魚。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1713,我要一杯啤酒。,我要一杯啤酒。,我要一杯啤酒。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1714,我要一份虾。,我要一份蝦。,我要一份蝦。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1730,我要一杯红酒。,我要一杯紅酒。,我要一杯紅酒。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1747,我要一杯白酒。,我要一杯白酒。,我要一杯白酒。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1748,我要一份青菜。,我要一份青菜。,我要一份青菜。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1764,我要一份豆腐。,我要一份豆腐。,我要一份豆腐。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1779,我要一份汤。,我要一份湯。,我要一份湯。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1832,我要一份薯条。,我要一份薯條。,我要一份薯條。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1858,我要一份蛋糕。,我要一份蛋糕。,我要一份蛋糕。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1871,我要一份水果。,我要一份水果。,我要一份水果。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1884,我要一份苹果。,我要一份蘋果。,我要一份蘋果。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1897,我要一份香蕉。,我要一份香蕉。,我要一份香蕉。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1923,我要一份西瓜。,我要一份西瓜。,我要一份西瓜。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1936,我要一份早餐。,我要一份早餐。,我要一份早餐。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1949,我要一份午餐。,我要一份午餐。,我要一份午餐。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1962,我要一份晚餐。,我要一份晚餐。,我要一份晚餐。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1975,我要一份套餐。,我要一份套餐。,我要一份套餐。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-1988,我要一份甜品。,我要一份甜品。,我要一份甜品。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2001,我要一份点心。,我要一份點心。,我要一份點心。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2014,我要一份烧卖。,我要一份燒賣。,我要一份燒賣。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2027,我要一份叉烧。,我要一份叉燒。,我要一份叉燒。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2040,我要一份烧鹅。,我要一份燒鵝。,我要一份燒鵝。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2066,我要一份火锅。,我要一份火鍋。,我要一份火鍋。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2079,我要一份咖喱。,我要一份咖喱。,我要一份咖喱。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2092,我要一份寿司。,我要一份壽司。,我要一份壽司。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2105,我要一份海鲜。,我要一份海鮮。,我要一份海鮮。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2118,我要一份素食。,我要一份素食。,我要一份素食。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2131,我要一份外卖。,我要一份外賣。,我要一份外賣。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2144,我要一份零食。,我要一份零食。,我要一份零食。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2346,我想买手机。,我想買手機。,我想買手機。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2348,我想换一个手机。,我想換一個手機。,我想換一個手機。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2365,我想买充电器。,我想買充電器。,我想買充電器。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2367,我想换一个充电器。,我想換一個充電器。,我想換一個充電器。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2403,我想买耳机。,我想買耳機。,我想買耳機。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
phrases,PHR-2405,我想换一个耳机。,我想換一個耳機。,我想換一個耳機。,source_s2t_equals_target,generated_candidate,controlled_generation_v1.0
