id,source_pattern,target_pattern,source_patterns,target_patterns,slot_types,scene,intent,priority,transform_pipeline,constraints,identity_structure,example_source,example_target,notes,review_status,provenance
TPL-0001,你为什么{vp:VP}？,你點解{vp}呀？,"[""你为什么{vp:VP}？""]","[""你點解{vp}呀？""]","[""VP""]",general,why_question,100,[],{},false,你为什么不去？,你點解唔去呀？,,draft_curated,curated_v0.1
TPL-0002,为什么{vp:VP}？,點解{vp}呀？,"[""为什么{vp:VP}？""]","[""點解{vp}呀？""]","[""VP""]",general,why_question,100,[],{},false,为什么这么贵？,點解咁貴呀？,,draft_curated,curated_v0.1
TPL-0003,你在做什么？,你做緊咩呀？,"[""你在做什么？""]","[""你做緊咩呀？""]",[],general,progressive_question,100,[],{},false,你在做什么？,你做緊咩呀？,fixed_high_frequency,draft_curated,curated_v0.1
TPL-0004,你正在{vp:VP}吗？,你係咪{vp}緊呀？,"[""你正在{vp:VP}吗？""]","[""你係咪{vp}緊呀？""]","[""VP""]",general,progressive_question,95,"[{""type"":""aspect_after_head"",""slot"":""vp"",""marker"":""緊""}]",{},false,你正在开会吗？,你係咪開緊會呀？,,draft_curated,curated_v0.1
TPL-0005,你有没有{np:NP}？,你有冇{np}呀？,"[""你有没有{np:NP}？""]","[""你有冇{np}呀？""]","[""NP""]",general,existence_question,100,[],{},false,你有没有时间？,你有冇時間呀？,,draft_curated,curated_v0.1
TPL-0006,这里有没有{np:NP}？,呢度有冇{np}呀？,"[""这里有没有{np:NP}？""]","[""呢度有冇{np}呀？""]","[""NP""]",general,existence_question,100,[],{},false,这里有没有洗手间？,呢度有冇洗手間呀？,,draft_curated,curated_v0.1
TPL-0007,{np:NP}在哪里？,{np}喺邊度呀？,"[""{np:NP}在哪里？""]","[""{np}喺邊度呀？""]","[""NP""]",general,location_question,100,[],{},false,洗手间在哪里？,洗手間喺邊度呀？,,draft_curated,curated_v0.1
TPL-0008,怎么去{place:PLACE}？,點去{place}呀？,"[""怎么去{place:PLACE}？""]","[""點去{place}呀？""]","[""PLACE""]",transport,directions,100,[],{},false,怎么去机场？,點去機場呀？,,draft_curated,curated_v0.1
TPL-0009,从这里怎么去{place:PLACE}？,由呢度點去{place}呀？,"[""从这里怎么去{place:PLACE}？""]","[""由呢度點去{place}呀？""]","[""PLACE""]",transport,directions,100,[],{},false,从这里怎么去车站？,由呢度點去車站呀？,,draft_curated,curated_v0.1
TPL-0010,{np:NP}多少钱？,{np}幾多錢呀？,"[""{np:NP}多少钱？""]","[""{np}幾多錢呀？""]","[""NP""]",shopping,price_question,100,[],{},false,这个多少钱？,呢個幾多錢呀？,,draft_curated,curated_v0.1
TPL-0011,{np:NP}要多少钱？,{np}要幾多錢呀？,"[""{np:NP}要多少钱？""]","[""{np}要幾多錢呀？""]","[""NP""]",general,price_question,95,[],{},false,修理要多少钱？,整返好要幾多錢呀？,verb_lexicon_may_rewrite,draft_curated,curated_v0.1
TPL-0012,{np:NP}什么时候{vp:VP}？,{np}幾時{vp}呀？,"[""{np:NP}什么时候{vp:VP}？""]","[""{np}幾時{vp}呀？""]","[""NP"",""VP""]",general,time_question,95,[],{},false,货什么时候到？,啲貨幾時到呀？,,draft_curated,curated_v0.1
TPL-0013,你什么时候{vp:VP}？,你幾時{vp}呀？,"[""你什么时候{vp:VP}？""]","[""你幾時{vp}呀？""]","[""VP""]",general,time_question,100,[],{},false,你什么时候回来？,你幾時返嚟呀？,,draft_curated,curated_v0.1
TPL-0014,要多久？,要幾耐呀？,"[""要多久？""]","[""要幾耐呀？""]",[],general,duration_question,100,[],{},false,要多久？,要幾耐呀？,,draft_curated,curated_v0.1
