id,stage,rule_type,source_pattern,target_pattern,condition,priority,example_source,example_target,notes,review_status,provenance
RUL-0001,10,negation,不 + VERB,唔 + VERB,default verbal negation,100,我不去。,我唔去。,,draft_curated,curated_v0.1
RUL-0002,10,negation,不 + ADJ,唔 + ADJ,default adjectival negation,100,这个不贵。,呢個唔貴。,,draft_curated,curated_v0.1
RUL-0003,10,copula_negation,不是,唔係,copular negation,110,他不是医生。,佢唔係醫生。,,draft_curated,curated_v0.1
RUL-0004,10,existence_negation,没有 + NP,冇 + NP,absence or possession,110,我没有钱。,我冇錢。,,draft_curated,curated_v0.1
RUL-0005,10,past_negation,没有 + VP,冇 + VP,completed-time context,105,我昨天没有去。,我尋日冇去。,,draft_curated,curated_v0.1
RUL-0006,10,not_yet,还没有 + VP,仲未 + VP,unfinished action,120,我还没有吃饭。,我仲未食飯。,,draft_curated,curated_v0.1
RUL-0007,10,negative_imperative,别 + VP,唔好 + VP,command or advice,110,别走。,唔好走。,,draft_curated,curated_v0.1
RUL-0008,10,negative_imperative,不要 + VP,唔好 + VP,command or advice,105,不要说话。,唔好講嘢。,,draft_curated,curated_v0.1
RUL-0009,10,item_rejection,不要 + NP,唔要 + NP,rejecting an item or option,105,不要冰。,唔要冰。,,draft_curated,curated_v0.1
RUL-0010,10,skill_negative,不会 + VP,唔識 + VP,learned skill,110,我不会开车。,我唔識揸車。,,draft_curated,curated_v0.1
RUL-0011,10,future_negative,不会 + VP,唔會 + VP,future or likelihood,100,明天不会下雨。,聽日唔會落雨。,,draft_curated,curated_v0.1
RUL-0012,10,permission_negative,不能 + VP,唔可以 + VP,rule or permission,105,这里不能停车。,呢度唔可以停車。,,draft_curated,curated_v0.1
RUL-0013,10,ability_negative,VERB + 不了,VERB + 唔到,inability/result,100,我吃不了这么多。,我食唔到咁多。,,draft_curated,curated_v0.1
RUL-0014,20,yes_no_question,是不是 + X,係咪 + X,yes/no copular question,110,是不是这里？,係咪呢度呀？,append particle optionally,draft_curated,curated_v0.1
RUL-0015,20,a_not_a,能不能 + VP,可唔可以 + VP,permission/request,110,能不能帮我？,可唔可以幫我呀？,,draft_curated,curated_v0.1
RUL-0016,20,a_not_a,有没有 + NP,有冇 + NP,existence/possession,110,有没有位置？,有冇位呀？,,draft_curated,curated_v0.1
RUL-0017,20,preference_question,喜欢不喜欢 + NP,鍾唔鍾意 + NP,preference,105,你喜欢不喜欢这个？,你鍾唔鍾意呢個呀？,,draft_curated,curated_v0.1
RUL-0018,20,degree_question,ADJ 不 ADJ,ADJ 唔 ADJ,A-not-A adjective,95,贵不贵？,貴唔貴呀？,,draft_curated,curated_v0.1
RUL-0019,20,why,为什么,點解,question word,120,你为什么迟到？,你點解遲到呀？,,draft_curated,curated_v0.1
RUL-0020,20,what,什么,乜嘢,question word,120,你想吃什么？,你想食乜嘢呀？,,draft_curated,curated_v0.1
RUL-0021,20,who,谁,邊個,question word,120,他是谁？,佢係邊個呀？,,draft_curated,curated_v0.1
