id,slot_type,source,target,canonical_source,target_strategy,semantic_class,features,priority,review_status,provenance
SLV-00001,battery_item,手机,手機,手机,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00002,battery_item,充电宝,尿袋,充电宝,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00003,battery_item,耳机,耳機,耳机,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00004,battery_item,电脑,電腦,电脑,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00005,battery_item,平板电脑,平板電腦,平板电脑,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00006,battery_item,相机,相機,相机,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00007,battery_item,手表,手錶,手表,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00008,body,头,頭,头,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00009,body,眼睛,眼,眼睛,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00010,body,耳朵,耳仔,耳朵,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00011,body,鼻子,鼻,鼻子,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00012,body,喉咙,喉嚨,喉咙,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00013,body,牙齿,牙,牙齿,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00014,body,脖子,頸,脖子,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00015,body,肩膀,膊頭,肩膀,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00016,body,手臂,手臂,手臂,same_form_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00017,body,手腕,手腕,手腕,same_form_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00018,body,手指,手指,手指,same_form_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00019,body,胸口,心口,胸口,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00020,body,肚子,肚,肚子,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00021,body,胃,胃,胃,same_form_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00022,body,腰,腰,腰,same_form_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00023,body,背,背,背,same_form_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00024,body,膝盖,膝頭,膝盖,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00025,body,腿,腳,腿,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00026,body,脚踝,腳眼,脚踝,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00027,body,脚,腳,脚,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00028,body,皮肤,皮膚,皮肤,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00029,body,心脏,心臟,心脏,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00030,body,耳朵里面,耳仔入面,耳朵里面,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00031,body,左边,左邊,左边,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00032,body,右边,右邊,右边,mapped_value_metadata,medical,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00033,booking_time,今天,今日,今天,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00034,booking_time,明天,聽日,明天,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00035,booking_time,今晚,今晚,今晚,same_form_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00036,booking_time,明早,聽朝,明早,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00037,booking_time,周末,週末,周末,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00038,booking_time,下周,下個星期,下周,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00039,booking_time,这个月,今個月,这个月,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00040,booking_time,下个月,下個月,下个月,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00041,brand_item,手机,手機,手机,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00042,brand_item,充电器,充電器,充电器,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00043,brand_item,充电宝,尿袋,充电宝,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00044,brand_item,耳机,耳機,耳机,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00045,brand_item,数据线,數據線,数据线,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00046,brand_item,电脑,電腦,电脑,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00047,brand_item,平板电脑,平板電腦,平板电脑,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00048,brand_item,相机,相機,相机,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00049,brand_item,手表,手錶,手表,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00050,brand_item,眼镜,眼鏡,眼镜,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00051,brand_item,行李箱,行李箱,行李箱,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00052,brand_item,背包,背包,背包,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00053,brand_item,钱包,銀包,钱包,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00054,brand_item,电池,電池,电池,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00055,brand_item,转换插头,轉插,转换插头,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00056,checkout_time,今天,今日,今天,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00057,checkout_time,明天,聽日,明天,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00058,checkout_time,中午,中午,中午,same_form_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00059,checkout_time,下午,下晝,下午,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00060,checkout_time,三点,三點,三点,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00061,checkout_time,五点半,五點半,五点半,mapped_value_metadata,time,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00062,clothes,上衣,上身衫,上衣,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00063,clothes,衬衫,恤衫,衬衫,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00064,clothes,T恤,T恤,T恤,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00065,clothes,外套,外套,外套,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00066,clothes,毛衣,毛衣,毛衣,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00067,clothes,裙子,裙,裙子,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00068,clothes,长裤,長褲,长裤,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00069,clothes,短裤,短褲,短裤,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00070,clothes,牛仔裤,牛仔褲,牛仔裤,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00071,clothes,运动鞋,波鞋,运动鞋,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00072,clothes,皮鞋,皮鞋,皮鞋,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00073,clothes,拖鞋,拖鞋,拖鞋,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00074,clothes,凉鞋,涼鞋,凉鞋,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00075,clothes,袜子,襪,袜子,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00076,clothes,帽子,帽子,帽子,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00077,clothes,围巾,頸巾,围巾,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00078,clothes,手套,手套,手套,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00079,clothes,皮带,皮帶,皮带,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00080,clothes,眼镜,眼鏡,眼镜,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00081,clothes,太阳镜,太陽眼鏡,太阳镜,mapped_value_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00082,clothes,背包,背包,背包,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00083,clothes,手提包,手提包,手提包,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00084,clothes,行李箱,行李箱,行李箱,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00085,clothes,雨衣,雨衣,雨衣,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00086,clothes,睡衣,睡衣,睡衣,same_form_metadata,object,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00087,color,黑色,黑色,黑色,same_form_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00088,color,白色,白色,白色,same_form_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00089,color,红色,紅色,红色,mapped_value_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00090,color,蓝色,藍色,蓝色,mapped_value_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00091,color,绿色,綠色,绿色,mapped_value_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00092,color,黄色,黃色,黄色,mapped_value_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00093,color,灰色,灰色,灰色,same_form_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00094,color,棕色,啡色,棕色,mapped_value_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00095,color,粉色,粉紅色,粉色,mapped_value_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00096,color,紫色,紫色,紫色,same_form_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00097,color,橙色,橙色,橙色,same_form_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00098,color,深色,深色,深色,same_form_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00099,color,浅色,淺色,浅色,mapped_value_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
SLV-00100,color,透明,透明,透明,same_form_metadata,attribute,{},80,generated_candidate,controlled_slot_bank_v1.0
