id,source_pattern,target_pattern,slots,scene,priority,template_type,example_source,example_target,notes,review_status,provenance
TPL-0001,你为什么{vp:VP}？,你點解{vp}呀？,VP,general,100,why_question,你为什么不去？,你點解唔去呀？,,draft_curated,curated_v0.1
TPL-0002,为什么{vp:VP}？,點解{vp}呀？,VP,general,100,why_question,为什么这么贵？,點解咁貴呀？,,draft_curated,curated_v0.1
TPL-0003,你在做什么？,你做緊咩呀？,,general,100,progressive_question,你在做什么？,你做緊咩呀？,fixed_high_frequency,draft_curated,curated_v0.1
TPL-0004,你正在{vp:VP}吗？,你係咪{vp}緊呀？,VP,general,95,progressive_question,你正在开会吗？,你係咪開緊會呀？,,draft_curated,curated_v0.1
TPL-0005,你有没有{np:NP}？,你有冇{np}呀？,NP,general,100,existence_question,你有没有时间？,你有冇時間呀？,,draft_curated,curated_v0.1
TPL-0006,这里有没有{np:NP}？,呢度有冇{np}呀？,NP,general,100,existence_question,这里有没有洗手间？,呢度有冇洗手間呀？,,draft_curated,curated_v0.1
TPL-0007,{np:NP}在哪里？,{np}喺邊度呀？,NP,general,100,location_question,洗手间在哪里？,洗手間喺邊度呀？,,draft_curated,curated_v0.1
TPL-0008,怎么去{place:PLACE}？,點去{place}呀？,PLACE,transport,100,directions,怎么去机场？,點去機場呀？,,draft_curated,curated_v0.1
TPL-0009,从这里怎么去{place:PLACE}？,由呢度點去{place}呀？,PLACE,transport,100,directions,从这里怎么去车站？,由呢度點去車站呀？,,draft_curated,curated_v0.1
TPL-0010,{np:NP}多少钱？,{np}幾多錢呀？,NP,shopping,100,price_question,这个多少钱？,呢個幾多錢呀？,,draft_curated,curated_v0.1
TPL-0011,{np:NP}要多少钱？,{np}要幾多錢呀？,NP,general,95,price_question,修理要多少钱？,整返好要幾多錢呀？,verb_lexicon_may_rewrite,draft_curated,curated_v0.1
TPL-0012,{np:NP}什么时候{vp:VP}？,{np}幾時{vp}呀？,NP|VP,general,95,time_question,货什么时候到？,啲貨幾時到呀？,,draft_curated,curated_v0.1
TPL-0013,你什么时候{vp:VP}？,你幾時{vp}呀？,VP,general,100,time_question,你什么时候回来？,你幾時返嚟呀？,,draft_curated,curated_v0.1
TPL-0014,要多久？,要幾耐呀？,,general,100,duration_question,要多久？,要幾耐呀？,,draft_curated,curated_v0.1
TPL-0015,{vp:VP}要多久？,{vp}要幾耐呀？,VP,general,100,duration_question,走路要多久？,行路要幾耐呀？,,draft_curated,curated_v0.1
TPL-0016,哪个{np:NP}比较好？,邊個{np}比較好呀？,NP,general,95,choice_question,哪个方案比较好？,邊個方案比較好呀？,,draft_curated,curated_v0.1
TPL-0017,你觉得{clause:CLAUSE}怎么样？,你覺得{clause}點呀？,CLAUSE,general,90,opinion_question,你觉得这个方案怎么样？,你覺得呢個方案點呀？,,draft_curated,curated_v0.1
TPL-0018,可以{vp:VP}吗？,可唔可以{vp}呀？,VP,general,100,permission_question,可以坐这里吗？,可唔可以坐呢度呀？,,draft_curated,curated_v0.1
TPL-0019,能不能{vp:VP}？,可唔可以{vp}呀？,VP,general,100,permission_question,能不能便宜一点？,可唔可以平啲呀？,,draft_curated,curated_v0.1
TPL-0020,你能不能{vp:VP}？,你可唔可以{vp}呀？,VP,general,100,request_question,你能不能帮我？,你可唔可以幫我呀？,,draft_curated,curated_v0.1
TPL-0021,你能帮我{vp:VP}吗？,你可唔可以幫我{vp}呀？,VP,general,100,request_question,你能帮我看一下吗？,你可唔可以幫我睇下呀？,,draft_curated,curated_v0.1
TPL-0022,请{vp:VP}。,唔該{vp}。,VP,general,95,polite_request,请等一下。,唔該等陣。,,draft_curated,curated_v0.1
TPL-0023,请帮我{vp:VP}。,唔該幫我{vp}。,VP,general,100,polite_request,请帮我叫车。,唔該幫我叫車。,,draft_curated,curated_v0.1
TPL-0024,麻烦你{vp:VP}。,唔該你{vp}。,VP,general,100,polite_request,麻烦你再说一遍。,唔該你再講多次。,,draft_curated,curated_v0.1
TPL-0025,请给我{np:NP}。,唔該畀{np}我。,NP,general,100,give_request,请给我一杯水。,唔該畀杯水我。,classifier_reduction_optional,draft_curated,curated_v0.1
TPL-0026,请把{np:NP}给我。,唔該將{np}畀我。,NP,general,95,give_request,请把文件给我。,唔該將份文件畀我。,,draft_curated,curated_v0.1
TPL-0027,请把{np:NP}发给我。,唔該將{np}send畀我。,NP,work,90,send_request,请把文件发给我。,唔該將份文件send畀我。,code_switch_hk,draft_curated,curated_v0.1
TPL-0028,请告诉我{clause:CLAUSE}。,唔該話我知{clause}。,CLAUSE,general,100,tell_request,请告诉我什么时候到。,唔該話我知幾時到。,,draft_curated,curated_v0.1
TPL-0029,请再{vp:VP}一次。,唔該再{vp}多次。,VP,general,100,repeat_request,请再说一次。,唔該再講多次。,,draft_curated,curated_v0.1
TPL-0030,请{vp:VP}一点。,唔該{vp}啲。,VP,general,95,degree_request,请说慢一点。,唔該講慢啲。,,draft_curated,curated_v0.1
TPL-0031,我想{vp:VP}。,我想{vp}。,VP,general,95,desire,我想吃饭。,我想食飯。,,draft_curated,curated_v0.1
TPL-0032,我想要{np:NP}。,我想要{np}。,NP,general,95,desire,我想要这个。,我想要呢個。,,draft_curated,curated_v0.1
TPL-0033,我要{np:NP}。,我要{np}。,NP,general,100,request_item,我要一杯水。,我要一杯水。,,draft_curated,curated_v0.1
TPL-0034,我要去{place:PLACE}。,我要去{place}。,PLACE,transport,100,destination,我要去机场。,我要去機場。,,draft_curated,curated_v0.1
TPL-0035,我正在{vp:VP}。,我{vp}緊。,VP,general,100,progressive,我正在吃饭。,我食緊飯。,,draft_curated,curated_v0.1
TPL-0036,{person:PERSON}正在{vp:VP}。,{person}{vp}緊。,PERSON|VP,general,100,progressive,他正在开会。,佢開緊會。,,draft_curated,curated_v0.1
TPL-0037,我已经{vp:VP}了。,我已經{vp}咗喇。,VP,general,100,completed,我已经到了。,我已經到咗喇。,,draft_curated,curated_v0.1
TPL-0038,{person:PERSON}已经{vp:VP}了。,{person}已經{vp}咗喇。,PERSON|VP,general,95,completed,他已经走了。,佢已經走咗喇。,,draft_curated,curated_v0.1
TPL-0039,我还没有{vp:VP}。,我仲未{vp}。,VP,general,100,not_yet,我还没有吃饭。,我仲未食飯。,,draft_curated,curated_v0.1
TPL-0040,{person:PERSON}还没有{vp:VP}。,{person}仲未{vp}。,PERSON|VP,general,100,not_yet,他还没有来。,佢仲未嚟。,,draft_curated,curated_v0.1
TPL-0041,我没有{np:NP}。,我冇{np}。,NP,general,100,nonexistence,我没有钱。,我冇錢。,,draft_curated,curated_v0.1
TPL-0042,{person:PERSON}没有{np:NP}。,{person}冇{np}。,PERSON|NP,general,95,nonexistence,他没有时间。,佢冇時間。,,draft_curated,curated_v0.1
TPL-0043,我昨天没有{vp:VP}。,我尋日冇{vp}。,VP,general,100,past_negative,我昨天没有去。,我尋日冇去。,,draft_curated,curated_v0.1
TPL-0044,我不会{vp:VP}。,我唔識{vp}。,VP,general,95,skill_negative,我不会说粤语。,我唔識講廣東話。,only_learned_skills,draft_curated,curated_v0.1
TPL-0045,我不能{vp:VP}。,我唔可以{vp}。,VP,general,95,permission_negative,我不能进去。,我唔可以入去。,permission_or_rule,draft_curated,curated_v0.1
